DAY_NUMBER,MONTH,MONTH_NUM,DATE,CO,OZONE,NO2,SO2,PM2.5,TEMP,CO_AQI,OZONE_AQI,NO2_AQI,SO2_AQI,PM2.5_AQI,AQI_AVG,STATUS
1,JAN,1,01-01-2016 00:00,119.21,22.47,13.2,3.81,37.43,30.34,1497.4582352941175,22.47,16.5,4.7625,37.43,315.7241470588235,1
2,JAN,1,02-01-2016 00:00,119.21,22.47,13.2,3.81,37.43,30.34,1497.4582352941175,22.47,16.5,4.7625,37.43,315.7241470588235,1
3,JAN,1,03-01-2016 00:00,119.21,22.47,13.2,3.81,37.43,30.34,1497.4582352941175,22.47,16.5,4.7625,37.43,315.7241470588235,1
4,JAN,1,04-01-2016 00:00,1.26,14.42,9.01,3.68,55.02,26.39,63.0,14.42,11.2625,4.6000000000000005,55.02,29.660500000000003,0
5,JAN,1,05-01-2016 00:00,32.22,14.83,9.25,3.64,84.89,26.96,479.16352941176467,14.83,11.5625,4.55,84.89,118.99920588235292,0
6,JAN,1,06-01-2016 00:00,70.85,17.59,9.23,3.71,77.82,27.23,931.3617647058823,17.59,11.537500000000001,4.6375,77.82,208.58935294117646,0
7,JAN,1,07-01-2016 00:00,129.87,15.89,9.26,3.97,64.0,26.94,1622.2429411764706,15.89,11.575,4.9625,64.0,343.73408823529417,1
8,JAN,1,08-01-2016 00:00,272.29,8.74,8.55,3.44,92.31,25.45,3289.394705882353,8.74,10.6875,4.3,92.31,681.0864411764705,1
9,JAN,1,09-01-2016 00:00,26.44,11.92,7.53,4.62,82.17,26.2,411.5035294117647,11.92,9.4125,5.775,82.17,104.15620588235295,0
10,JAN,1,10-01-2016 00:00,39.18,10.74,6.74,4.21,73.65,25.99,560.6364705882353,10.74,8.425,5.2625,73.65,131.74279411764707,0
11,JAN,1,11-01-2016 00:00,35.41,13.74,7.11,5.07,43.3,26.08,516.505294117647,13.74,8.887500000000001,6.3375,43.3,117.7540588235294,0
12,JAN,1,12-01-2016 00:00,65.82,13.82,7.27,3.61,24.68,25.9,872.4811764705881,13.82,9.087499999999999,4.5125,24.68,184.91623529411763,0
13,JAN,1,13-01-2016 00:00,210.38,13.81,7.35,4.17,56.6,26.0,2564.6835294117645,13.81,9.1875,5.2125,56.6,529.8987058823529,1
14,JAN,1,14-01-2016 00:00,1.31,27.06,7.38,3.27,6.0,26.33,65.5,27.06,9.225,4.0875,6.0,22.3745,0
15,JAN,1,15-01-2016 00:00,0.78,22.16,6.68,2.87,6.71,26.46,39.0,22.16,8.35,3.5875000000000004,6.71,15.961499999999997,0
16,JAN,1,16-01-2016 00:00,67.71,24.02,7.76,2.54,22.56,26.53,894.605294117647,24.02,9.7,3.175,22.56,190.81205882352938,0
17,JAN,1,17-01-2016 00:00,0.98,21.66,7.41,3.07,1582.56,30.34,49.0,21.66,9.2625,3.8375,3403.29964,697.4119280000001,1
18,JAN,1,18-01-2016 00:00,0.88,29.12,7.8,3.69,0.07,30.34,44.0,29.12,9.75,4.6125,0.07,17.5105,0
19,JAN,1,19-01-2016 00:00,0.86,29.9,7.77,4.48,39.27,27.05,43.0,29.9,9.712499999999999,5.6000000000000005,39.27,25.496500000000005,0
20,JAN,1,20-01-2016 00:00,0.92,34.15,8.3,2.73,55.48,28.57,46.0,34.15,10.375,3.4125,55.48,29.883499999999998,0
21,JAN,1,21-01-2016 00:00,3.08,30.8,8.25,2.84,38.68,28.41,114.08859060402685,30.8,10.3125,3.55,38.68,39.486218120805376,0
22,JAN,1,22-01-2016 00:00,1.29,18.95,6.79,2.58,54.05,27.72,64.5,18.95,8.4875,3.225,54.05,29.842499999999994,0
23,JAN,1,23-01-2016 00:00,0.88,35.7,9.8,2.3,28.97,27.74,44.0,35.7,12.25,2.875,28.97,24.759,0
24,JAN,1,24-01-2016 00:00,0.8,48.02,8.84,2.2,29.29,28.18,40.0,48.02,11.05,2.75,29.29,26.222,0
25,JAN,1,25-01-2016 00:00,1.02,37.78,18.65,2.66,33.28,27.39,51.0,37.78,23.3125,3.325,33.28,29.7395,0
26,JAN,1,26-01-2016 00:00,1.01,35.5,34.58,2.63,11.86,27.1,50.5,35.5,43.224999999999994,3.2874999999999996,11.86,28.8745,0
27,JAN,1,27-01-2016 00:00,1.01,36.6,34.3,2.93,10.06,27.06,50.5,36.6,42.875,3.6625,10.06,28.7395,0
28,JAN,1,28-01-2016 00:00,371.14,29.12,16.08,2.44,23.2,27.17,4446.521176470588,29.12,20.099999999999998,3.05,23.2,904.3982352941177,1
29,JAN,1,29-01-2016 00:00,453.75,24.47,15.58,2.24,27.1,27.09,5413.544117647059,24.47,19.475,2.8000000000000003,27.1,1097.477823529412,1
30,JAN,1,30-01-2016 00:00,990.36,28.32,18.61,2.46,28.28,27.11,11695.037647058823,28.32,23.2625,3.075,28.28,2355.595029411765,1
31,JAN,1,31-01-2016 00:00,92.31,24.82,15.28,2.74,27.23,26.97,1182.57,24.82,19.099999999999998,3.4250000000000003,27.23,251.42899999999995,0
32,FEB,2,01-02-2016 00:00,731.88,18.81,19.25,2.53,117.54,26.39,8669.301176470588,18.81,24.0625,3.1624999999999996,114.21546000000001,1765.9103272941175,1
33,FEB,2,02-02-2016 00:00,481.21,31.34,25.13,2.9,404.1,26.84,5734.987647058823,31.34,31.412499999999998,3.625,434.75890000000004,1247.2248094117647,1
