DAY_NUMBER,MONTH,MONTH_NUM,DATE,CO,OZONE,NO2,SO2,PM2.5,TEMP,CO_AQI,OZONE_AQI,NO2_AQI,SO2_AQI,PM2.5_AQI,AQI_AVG,STATUS
1,JAN,1,01-01-2016 00:00,119.21,22.47,13.2,3.81,37.43,30.34,1497.4582352941175,22.47,16.5,4.7625,37.43,315.7241470588235,1
2,JAN,1,02-01-2016 00:00,119.21,22.47,13.2,3.81,37.43,30.34,1497.4582352941175,22.47,16.5,4.7625,37.43,315.7241470588235,1
3,JAN,1,03-01-2016 00:00,119.21,22.47,13.2,3.81,37.43,30.34,1497.4582352941175,22.47,16.5,4.7625,37.43,315.7241470588235,1
7,JAN,1,07-01-2016 00:00,129.87,15.89,9.26,3.97,64.0,26.94,1622.2429411764706,15.89,11.575,4.9625,64.0,343.73408823529417,1
8,JAN,1,08-01-2016 00:00,272.29,8.74,8.55,3.44,92.31,25.45,3289.394705882353,8.74,10.6875,4.3,92.31,681.0864411764705,1
13,JAN,1,13-01-2016 00:00,210.38,13.81,7.35,4.17,56.6,26.0,2564.6835294117645,13.81,9.1875,5.2125,56.6,529.8987058823529,1
17,JAN,1,17-01-2016 00:00,0.98,21.66,7.41,3.07,1582.56,30.34,49.0,21.66,9.2625,3.8375,3403.29964,697.4119280000001,1
28,JAN,1,28-01-2016 00:00,371.14,29.12,16.08,2.44,23.2,27.17,4446.521176470588,29.12,20.099999999999998,3.05,23.2,904.3982352941177,1
29,JAN,1,29-01-2016 00:00,453.75,24.47,15.58,2.24,27.1,27.09,5413.544117647059,24.47,19.475,2.8000000000000003,27.1,1097.477823529412,1
30,JAN,1,30-01-2016 00:00,990.36,28.32,18.61,2.46,28.28,27.11,11695.037647058823,28.32,23.2625,3.075,28.28,2355.595029411765,1
32,FEB,2,01-02-2016 00:00,731.88,18.81,19.25,2.53,117.54,26.39,8669.301176470588,18.81,24.0625,3.1624999999999996,114.21546000000001,1765.9103272941175,1
33,FEB,2,02-02-2016 00:00,481.21,31.34,25.13,2.9,404.1,26.84,5734.987647058823,31.34,31.412499999999998,3.625,434.75890000000004,1247.2248094117647,1
34,FEB,2,03-02-2016 00:00,130.63,21.72,25.26,2.34,292.15,27.14,1631.1394117647058,21.72,31.575000000000003,2.925,253.72885,388.2176523529412,1
35,FEB,2,04-02-2016 00:00,279.04,30.57,15.39,1.87,42.45,27.69,3368.409411764706,30.57,19.2375,2.3375000000000004,42.45,692.6008823529412,1
37,FEB,2,06-02-2016 00:00,94.63,24.43,19.93,2.96,59.62,27.45,1209.7276470588235,24.43,24.9125,3.7,59.62,264.4780294117647,1
39,FEB,2,08-02-2016 00:00,188.8,24.81,11.64,2.78,45.68,27.65,2312.070588235294,24.81,14.55,3.4749999999999996,45.68,480.11711764705876,1
40,FEB,2,09-02-2016 00:00,195.07,21.47,17.47,2.9,79.27,27.39,2385.466470588235,21.47,21.8375,3.625,79.27,502.333794117647,1
41,FEB,2,10-02-2016 00:00,107.42,21.97,18.12,4.54,62.66,28.22,1359.4458823529412,21.97,22.650000000000002,5.675,62.66,294.4801764705883,1
42,FEB,2,11-02-2016 00:00,106.67,23.93,23.47,4.91,50.72,29.05,1350.6664705882351,23.93,29.3375,6.1375,50.72,292.1582941176471,1
48,FEB,2,17-02-2016 00:00,134.78,22.09,6.58,2.92,55.24,28.52,1679.7188235294118,22.09,8.225,3.65,55.24,353.78476470588237,1
52,FEB,2,21-02-2016 00:00,178.92,27.02,10.75,3.2,57.65,29.76,2196.416470588235,27.02,13.4375,4.0,57.65,459.704794117647,1
79,MAR,3,19-03-2016 00:00,112.65,21.25,13.0,2.79,38.92,30.68,1420.6676470588236,21.25,16.25,3.4875,38.92,300.11502941176474,1
80,MAR,3,20-03-2016 00:00,395.73,26.57,9.47,2.33,62.05,31.03,4734.368823529412,26.57,11.8375,2.9125,62.05,967.5477647058824,1
81,MAR,3,21-03-2016 00:00,247.25,23.62,15.01,2.73,54.05,31.61,2996.279411764706,23.62,18.7625,3.4125,54.05,619.2248823529411,1
85,MAR,3,25-03-2016 00:00,125.37,16.72,7.9,2.46,40.32,30.35,1569.5664705882352,16.72,9.875,3.075,40.32,327.91129411764706,1
89,MAR,3,29-03-2016 00:00,111.33,15.47,11.23,5.03,14.95,31.17,1405.215882352941,15.47,14.037500000000001,6.2875000000000005,14.95,291.19217647058815,1
90,MAR,3,30-03-2016 00:00,142.21,19.28,10.92,4.98,23.98,31.2,1766.6935294117648,19.28,13.65,6.2250000000000005,23.98,365.96570588235295,1
91,APR,4,31-03-2016 00:00,105.96,20.41,11.05,5.11,27.18,31.01,1342.355294117647,20.41,13.8125,6.3875,27.18,282.02905882352945,1
95,APR,4,04-04-2016 00:00,162.99,15.56,12.98,3.88,31.99,31.34,2009.9417647058824,15.56,16.225,4.85,31.99,415.7133529411764,1
99,APR,4,08-04-2016 00:00,355.65,14.57,6.31,3.32,25.53,31.8,4265.197058823529,14.57,7.887499999999999,4.1499999999999995,25.53,863.4669117647056,1
113,APR,4,22-04-2016 00:00,186.59,41.18,24.06,7.59,18.87,34.79,2286.200588235294,41.18,30.075,9.4875,18.87,477.16261764705877,1
117,APR,4,26-04-2016 00:00,164.8,21.05,10.97,4.29,34.78,32.59,2031.129411764706,21.05,13.7125,5.3625,34.78,421.2068823529413,1
