DAY_NUMBER,MONTH,MONTH_NUM,DATE1,CO,OZONE,NO2,SO2,PM2.5,Temp
1,JAN,1,2015-01-01 00:00,30.19,18.88,25.89,12.38,102.95,26.61
2,JAN,1,2015-01-02 00:00,38.1,15.08,15.63,9.89,102.95,49.85
3,JAN,1,2015-01-03 00:00,0.01,21.66,29.23,217.2,102.95,84.76
4,JAN,1,2015-01-04 00:00,0.06,15.3,28.98,341.69,102.95,82.17
5,JAN,1,2015-01-05 00:00,0.02,15.55,28.51,333.36,102.95,82.09
6,JAN,1,2015-01-06 00:00,0.02,21.03,169.63,265.09,102.95,80.83
7,JAN,1,2015-01-07 00:00,0.02,24.11,114.65,267.92,102.95,82.41
8,JAN,1,2015-01-08 00:00,0.02,35.74,105.13,519.1,102.95,79.92
9,JAN,1,2015-01-09 00:00,0.22,61,98.65,285.59,102.95,77.35
10,JAN,1,2015-01-10 00:00,0.01,36.44,31.49,339.24,102.95,61.68
11,JAN,1,2015-01-11 00:00,0.03,34.07,157.23,315.86,102.95,61.27
12,JAN,1,2015-01-12 00:00,0.03,33.22,66.36,325.95,102.95,60.02
13,JAN,1,2015-01-13 00:00,0.02,30.65,463.02,443.17,102.95,64.42
14,JAN,1,2015-01-14 00:00,0.23,51.52,1602.04,411.75,102.95,65.97
15,JAN,1,2015-01-15 00:00,0.02,24.29,124.8,230.99,102.95,72.28
16,JAN,1,2015-01-16 00:00,0.09,22.9,86.46,786.36,102.95,75.21
17,JAN,1,2015-01-17 00:00,0.59,27.42,26.26,1298.77,102.95,68.55
18,JAN,1,2015-01-18 00:00,0.02,24.3,79.67,1191.15,102.95,67.01
19,JAN,1,2015-01-19 00:00,1.72,28.37,131.93,1244.18,102.95,66.55
20,JAN,1,2015-01-20 00:00,0.57,25.97,60.36,1144.6,102.95,66.94
21,JAN,1,2015-01-21 00:00,0.02,10.79,526.77,1421.52,102.95,59.82
22,JAN,1,2015-01-22 00:00,0.02,23.75,132.57,1715.87,102.95,75.85
23,JAN,1,2015-01-23 00:00,9.31,33.82,124.24,1925.79,102.95,86.25
24,JAN,1,2015-01-24 00:00,0.02,35.31,123.09,1790.06,102.95,80.29
25,JAN,1,2015-01-25 00:00,0.02,14.55,123.09,1815.36,102.95,71.49
26,JAN,1,2015-01-26 00:00,2.57,51.96,123.09,1840.78,102.95,68.86
27,JAN,1,2015-01-27 00:00,0.6,36.78,23.39,1869.26,102.95,72.56
28,JAN,1,2015-01-28 00:00,5.09,68.24,37.33,2027.52,102.95,76.52
29,JAN,1,2015-01-29 00:00,0.02,32.52,309.32,1783.96,102.95,73
30,JAN,1,2015-01-30 00:00,0.03,53.61,43.33,1778.66,102.95,70.11
31,JAN,1,2015-01-31 00:00,0.02,62.65,118.77,1803.21,102.95,73.76
32,FEB,2,2015-02-01 00:00,0.02,58.21,56.26,1820.96,102.95,74.52
33,FEB,2,2015-02-02 00:00,0.04,81.2,21.57,1817.1,102.95,65.55
34,FEB,2,2015-02-03 00:00,0.03,31.05,22.13,1715.22,102.95,62.92
35,FEB,2,2015-02-04 00:00,0.03,62.52,21.54,1801.25,102.95,71.63
36,FEB,2,2015-02-05 00:00,0.03,94.85,70.32,1769.15,102.95,70.93
37,FEB,2,2015-02-06 00:00,0.03,73.3,25.1,1714.28,102.95,70.89
38,FEB,2,2015-02-07 00:00,0.04,37.75,21.43,1855.72,102.95,68.74
39,FEB,2,2015-02-08 00:00,0.04,74.97,20.78,1759.41,102.95,67.78
40,FEB,2,2015-02-09 00:00,0.05,34.07,20.92,1760.17,102.95,62.16
41,FEB,2,2015-02-10 00:00,0.03,48.22,21.03,1804.41,102.95,66.77
42,FEB,2,2015-02-11 00:00,0.03,52.7,26.69,1845.51,102.95,74.59
43,FEB,2,2015-02-12 00:00,0.03,86.87,25.03,1775.53,102.95,72.62
44,FEB,2,2015-02-13 00:00,0.25,44,24.36,1732.03,102.95,75.76
45,FEB,2,2015-02-14 00:00,0.29,34.6,20.82,1733.38,102.95,72.44
46,FEB,2,2015-02-15 00:00,0.03,25.45,21.37,1833.35,102.95,68.27
47,FEB,2,2015-02-16 00:00,0.02,34.23,21.02,1812.72,102.95,70.27
48,FEB,2,2015-02-17 00:00,0.02,31.02,21.19,1784.57,102.95,70.33
49,FEB,2,2015-02-18 00:00,0.02,47.87,20.87,1810.55,102.95,68.99
50,FEB,2,2015-02-19 00:00,0.17,24.68,21.47,1809.56,102.95,68.87
51,FEB,2,2015-02-20 00:00,0.02,25.12,21.02,1841.74,102.95,70.36
52,FEB,2,2015-02-21 00:00,0.03,22.42,21.01,1857.02,102.95,72.35
53,FEB,2,2015-02-22 00:00,0.02,33.73,21.11,1840.37,102.95,72.89
54,FEB,2,2015-02-23 00:00,0.02,22.44,32.09,1675.31,102.95,71.76
55,FEB,2,2015-02-24 00:00,0.03,31.01,30.65,1808.9,102.95,72.24
56,FEB,2,2015-02-25 00:00,0.03,31.94,21.1,1732.55,102.95,67.13
57,FEB,2,2015-02-26 00:00,7.14,33.58,20.97,2120.16,102.95,81.37
58,FEB,2,2015-02-27 00:00,0.03,47.4,21.16,1809.86,102.95,76.67
59,FEB,2,2015-02-28 00:00,0.02,179.34,21.49,1809.26,102.95,75.97
60,MAR,3,2015-03-01 00:00,0.02,185.73,20.93,1816.16,102.95,70.15
61,MAR,3,2015-03-02 00:00,15.46,188,20.92,1723.32,102.95,75.72
62,MAR,3,2015-03-03 00:00,0.02,303.27,20.85,1728.83,102.95,73.87
63,MAR,3,2015-03-04 00:00,0.02,316.24,21.1,1687.24,102.95,70.76
64,MAR,3,2015-03-05 00:00,0.02,261.14,20.96,1802.82,102.95,78.48
65,MAR,3,2015-03-06 00:00,0.02,155.04,21.1,1826.2,102.95,74.84
66,MAR,3,2015-03-07 00:00,0.02,146.1,21.73,1726.37,102.95,72.23
67,MAR,3,2015-03-08 00:00,0.02,402.01,24.26,1821.74,102.95,70.56
68,MAR,3,2015-03-09 00:00,0.5,426.13,22.58,1740.83,102.95,70.96
69,MAR,3,2015-03-10 00:00,0.33,161.06,38.62,705.6,102.95,41.06
70,MAR,3,2015-03-11 00:00,0.26,117.44,310.02,1102.18,102.95,38.33
71,MAR,3,2015-03-12 00:00,0.02,207,24.98,1767.32,102.95,70.95
72,MAR,3,2015-03-13 00:00,7.56,255.23,21.34,2013.3,102.95,83.17
73,MAR,3,2015-03-14 00:00,0.02,303.7,22.02,1860.97,102.95,68.46
74,MAR,3,2015-03-15 00:00,0.02,333.88,69.11,1839.16,102.95,72.28
